計測データ,,,,,,計算データ,,
Date, Time, ms, Ampare[mA], Volt[mV],,ms,Ampare [A],Volt [V]
2024/1/5, 13:54:41,32219,8.33,12686.25,,19036,0.01 ,12.69 
2024/1/5, 13:54:41,32341,-8.33,12686.25,,19158,-0.01 ,12.69 
2024/1/5, 13:54:41,32459,-8.33,12686.25,,19276,-0.01 ,12.69 
2024/1/5, 13:54:41,32572,0,12686.25,,19389,0.00 ,12.69 
2024/1/5, 13:54:41,32685,0,12686.25,,19502,0.00 ,12.69 
2024/1/5, 13:54:41,32803,0,12686.25,,19620,0.00 ,12.69 
2024/1/5, 13:54:41,32916,0,12686.25,,19733,0.00 ,12.69 
2024/1/5, 13:54:42,33035,8.33,12685,,19852,0.01 ,12.69 
2024/1/5, 13:54:42,33149,-8.33,12686.25,,19966,-0.01 ,12.69 
2024/1/5, 13:54:42,33263,-8.33,12686.25,,20080,-0.01 ,12.69 
2024/1/5, 13:54:42,33391,-8.33,12685,,20208,-0.01 ,12.69 
2024/1/5, 13:54:42,33505,0,12686.25,,20322,0.00 ,12.69 
2024/1/5, 13:54:42,33625,0,12685,,20442,0.00 ,12.69 
2024/1/5, 13:54:42,33740,-8.33,12685,,20557,-0.01 ,12.69 
2024/1/5, 13:54:42,33855,0,12685,,20672,0.00 ,12.69 
2024/1/5, 13:54:42,33970,0,12685,,20787,0.00 ,12.69 
2024/1/5, 13:54:43,34085,-8.33,12686.25,,20902,-0.01 ,12.69 
2024/1/5, 13:54:43,34206,8.33,12686.25,,21023,0.01 ,12.69 
2024/1/5, 13:54:43,34322,-8.33,12686.25,,21139,-0.01 ,12.69 
2024/1/5, 13:54:43,34451,0,12685,,21268,0.00 ,12.69 
2024/1/5, 13:54:43,34568,0,12686.25,,21385,0.00 ,12.69 
2024/1/5, 13:54:43,34684,0,12685,,21501,0.00 ,12.69 
2024/1/5, 13:54:43,34806,0,12686.25,,21623,0.00 ,12.69 
2024/1/5, 13:54:43,34922,-8.33,12686.25,,21739,-0.01 ,12.69 
2024/1/5, 13:54:44,35045,0,12683.75,,21862,0.00 ,12.68 
2024/1/5, 13:54:44,35162,-8.33,12686.25,,21979,-0.01 ,12.69 
2024/1/5, 13:54:44,35279,0,12685,,22096,0.00 ,12.69 
2024/1/5, 13:54:44,35410,0,12686.25,,22227,0.00 ,12.69 
2024/1/5, 13:54:44,35528,12786.55,11977.5,,22345,12.79 ,11.98 
2024/1/5, 13:54:44,35651,6639.01,12172.5,,22468,6.64 ,12.17 
2024/1/5, 13:54:44,35769,8613.22,11986.25,,22586,8.61 ,11.99 
2024/1/5, 13:54:44,35888,9829.4,11981.25,,22705,9.83 ,11.98 
2024/1/5, 13:54:45,36012,9437.89,11978.75,,22829,9.44 ,11.98 
2024/1/5, 13:54:45,36130,10454.15,11952.5,,22947,10.45 ,11.95 
2024/1/5, 13:54:45,36255,9496.2,11932.5,,23072,9.50 ,11.93 
2024/1/5, 13:54:45,36382,9387.91,11916.25,,23199,9.39 ,11.92 
2024/1/5, 13:54:45,36501,13636.21,11837.5,,23318,13.64 ,11.84 
2024/1/5, 13:54:45,36626,9554.51,11882.5,,23443,9.55 ,11.88 
2024/1/5, 13:54:45,36746,9412.9,11715,,23563,9.41 ,11.72 
2024/1/5, 13:54:45,36871,9229.64,11855,,23688,9.23 ,11.86 
2024/1/5, 13:54:45,36991,9396.24,11826.25,,23808,9.40 ,11.83 
2024/1/5, 13:54:46,37111,11228.84,11696.25,,23928,11.23 ,11.70 
2024/1/5, 13:54:46,37237,9604.49,11827.5,,24054,9.60 ,11.83 
2024/1/5, 13:54:46,37366,9254.63,11813.75,,24183,9.25 ,11.81 
2024/1/5, 13:54:46,37492,9296.28,11726.25,,24309,9.30 ,11.73 
2024/1/5, 13:54:46,37613,12819.87,11780,,24430,12.82 ,11.78 
2024/1/5, 13:54:46,37734,11078.9,11642.5,,24551,11.08 ,11.64 
2024/1/5, 13:54:46,37856,7555.31,11805,,24673,7.56 ,11.81 
2024/1/5, 13:54:46,37978,9512.86,11892.5,,24795,9.51 ,11.89 
2024/1/5, 13:54:47,38105,5314.54,11940,,24922,5.31 ,11.94 
2024/1/5, 13:54:47,38227,5314.54,11853.75,,25044,5.31 ,11.85 
2024/1/5, 13:54:47,38354,5306.21,11983.75,,25171,5.31 ,11.98 
2024/1/5, 13:54:47,38485,7047.18,11805,,25302,7.05 ,11.81 
2024/1/5, 13:54:47,38608,9163,11873.75,,25425,9.16 ,11.87 
2024/1/5, 13:54:47,38736,9654.47,11921.25,,25553,9.65 ,11.92 
2024/1/5, 13:54:47,38859,8521.59,11970,,25676,8.52 ,11.97 
2024/1/5, 13:54:47,38988,110330.85,7236.25,,25805,110.33 ,7.24 
2024/1/5, 13:54:48,39111,70938.28,6686.25,,25928,70.94 ,6.69 
2024/1/5, 13:54:48,39235,71404.76,6177.5,,26052,71.40 ,6.18 
2024/1/5, 13:54:48,39372,79268.28,4028.75,,26189,79.27 ,4.03 
2024/1/5, 13:54:48,39497,12586.63,10022.5,,26314,12.59 ,10.02 
2024/1/5, 13:54:48,39626,74328.59,3928.75,,26443,74.33 ,3.93 
2024/1/5, 13:54:48,39751,17043.18,9517.5,,26568,17.04 ,9.52 
2024/1/5, 13:54:48,39875,7680.26,9827.5,,26692,7.68 ,9.83 
2024/1/5, 13:54:49,40005,5289.55,10046.25,,26822,5.29 ,10.05 
2024/1/5, 13:54:49,40131,15127.28,9431.25,,26948,15.13 ,9.43 
2024/1/5, 13:54:49,40261,7755.23,9636.25,,27078,7.76 ,9.64 
2024/1/5, 13:54:49,40395,10953.95,9878.75,,27212,10.95 ,9.88 
2024/1/5, 13:54:49,40520,7805.21,9872.5,,27337,7.81 ,9.87 
2024/1/5, 13:54:49,40652,7996.8,9818.75,,27469,8.00 ,9.82 
2024/1/5, 13:54:49,40778,7888.51,9840,,27595,7.89 ,9.84 
2024/1/5, 13:54:49,40909,8071.77,9702.5,,27726,8.07 ,9.70 
2024/1/5, 13:54:50,41036,8063.44,9847.5,,27853,8.06 ,9.85 
2024/1/5, 13:54:50,41162,8305.01,9518.75,,27979,8.31 ,9.52 
2024/1/5, 13:54:50,41295,7996.8,9873.75,,28112,8.00 ,9.87 
2024/1/5, 13:54:50,41430,7971.81,9851.25,,28247,7.97 ,9.85 
2024/1/5, 13:54:50,41562,7880.18,9522.5,,28379,7.88 ,9.52 
2024/1/5, 13:54:50,41690,9787.75,9572.5,,28507,9.79 ,9.57 
2024/1/5, 13:54:50,41818,7905.17,9871.25,,28635,7.91 ,9.87 
2024/1/5, 13:54:50,41945,7913.5,9852.5,,28762,7.91 ,9.85 
2024/1/5, 13:54:51,42074,7988.47,9860,,28891,7.99 ,9.86 
2024/1/5, 13:54:51,42207,4873.05,10180,,29024,4.87 ,10.18 
2024/1/5, 13:54:51,42336,7588.63,10208.75,,29153,7.59 ,10.21 
2024/1/5, 13:54:51,42477,8146.74,10211.25,,29294,8.15 ,10.21 
2024/1/5, 13:54:51,42606,7072.17,10226.25,,29423,7.07 ,10.23 
2024/1/5, 13:54:51,42735,6147.54,10235,,29552,6.15 ,10.24 
2024/1/5, 13:54:51,42870,5864.32,9911.25,,29687,5.86 ,9.91 
2024/1/5, 13:54:51,42999,77219.1,4220,,29816,77.22 ,4.22 
2024/1/5, 13:54:52,43134,14677.46,9597.5,,29951,14.68 ,9.60 
2024/1/5, 13:54:52,43264,71496.39,3675,,30081,71.50 ,3.68 
2024/1/5, 13:54:52,43402,2374.05,9825,,30219,2.37 ,9.83 
2024/1/5, 13:54:52,43538,69572.16,6222.5,,30355,69.57 ,6.22 
2024/1/5, 13:54:52,43668,68764.15,3527.5,,30485,68.76 ,3.53 
2024/1/5, 13:54:52,43804,69030.71,3516.25,,30621,69.03 ,3.52 
2024/1/5, 13:54:52,43935,68206.04,3511.25,,30752,68.21 ,3.51 
2024/1/5, 13:54:53,44066,2324.07,8490,,30883,2.32 ,8.49 
2024/1/5, 13:54:53,44202,7863.52,9302.5,,31019,7.86 ,9.30 
2024/1/5, 13:54:53,44334,9596.16,9651.25,,31151,9.60 ,9.65 
